id,ts_ms,ts_utc,symbol,kind,message,mark,funding_pct,oi,cvd_5m,basis_pct,taker_buy_pct_5m
54,1777061461843,2026-04-24T20:11:01.843000+00:00,icp-usdc,GRINDING_TRAP,px +0.18% 15m (1.1σ)  CVD -0.00M  fund +0.0013%  FΔ +0.0000%  OI +0.00% 15m,2.4765,0.00125,763673.2,-34.12887,-0.11293510265,42.8230174901
55,1777061469908,2026-04-24T20:11:09.908000+00:00,btc-usdc,FLOW_CLUSTER,"BUY flow cluster @ 77,546.0000  x5157  $12,184,040",77546,0.00092904,27491.61734,-806846.36771,-0.0831073115107,23.3914962624
56,1777061507003,2026-04-24T20:11:47.003000+00:00,bnb-usdc,FLOW_CLUSTER,"BUY flow cluster @ 638.2840  x73  $21,914",637.01,0.00125,45782.45,-4329.72939,0.00863483291598,18.5448111087
57,1777061510759,2026-04-24T20:11:50.759000+00:00,sol-usdc,FLOW_CLUSTER,"SELL flow cluster @ 86.2152  x698  $2,079,722",86.388,-0.00140248,3225373.86,-328014.64114,-0.1046502888,10.7048479887
58,1777061539168,2026-04-24T20:12:19.168000+00:00,doge-usdc,FLOW_CLUSTER,"SELL flow cluster @ 0.0983  x124  $49,470",0.098194,0.00125,326433220,-51323.698318,-0.0213816626788,2.53352887652
59,1777061651051,2026-04-24T20:14:11.051000+00:00,eth-usdc,FLOW_CLUSTER,"SELL flow cluster @ 2,320.5182  x1377  $5,280,568",2318.2,-0.00024124,422698.3044,-5597.45166,-0.0754326601866,48.9165632582
60,1777061675676,2026-04-24T20:14:35.676000+00:00,icp-usdc,THIN_BOOK,impact excess 10.5bp over spread,2.4757,0.00125,763651.8,-47.99491,-0.0726538849647,35.916671611
61,1777061770010,2026-04-24T20:16:10.010000+00:00,btc-usdc,FLOW_CLUSTER,"BUY flow cluster @ 77,518.4040  x3700  $9,546,984",77596,0.00118105,27483.42626,540041.44797,-0.0766204583062,67.0115138564
62,1777061807299,2026-04-24T20:16:47.299000+00:00,bnb-usdc,FLOW_CLUSTER,"BUY flow cluster @ 638.3041  x73  $21,914",637.03,0.00125,45765.468,5425.242,-0.0329546167849,68.9614869388
63,1777061811094,2026-04-24T20:16:51.094000+00:00,sol-usdc,FLOW_CLUSTER,"SELL flow cluster @ 86.2826  x784  $1,504,222",86.369,-0.00128147,3225204.5,122731.45962,-0.100051471566,81.5340408975
